group_id,members number,public_private,need_approval,is_buy_sell,joined,joined_accounts
1.74425E+15,7295,CLOSED,TRUE,TRUE,FALSE,
9.92702E+14,5199,OPEN,FALSE,FALSE,FALSE,
2.54963E+14,4942,CLOSED,TRUE,FALSE,FALSE,
7.56786E+14,47601,CLOSED,TRUE,TRUE,FALSE,
1.02399E+14,34424,CLOSED,TRUE,TRUE,FALSE,
1.10696E+15,5248,CLOSED,TRUE,FALSE,FALSE,
9.03245E+14,17368,OPEN,FALSE,TRUE,FALSE,
1.86434E+14,2991,CLOSED,TRUE,FALSE,FALSE,
9.52306E+14,21202,OPEN,FALSE,FALSE,FALSE,
2.93284E+14,994,CLOSED,TRUE,FALSE,FALSE,
3.02063E+14,910,CLOSED,TRUE,FALSE,FALSE,
2.21803E+15,1877,CLOSED,TRUE,FALSE,FALSE,
1.04884E+15,6847,CLOSED,TRUE,FALSE,FALSE,
4.00054E+14,266051,CLOSED,TRUE,FALSE,FALSE,
5.87969E+14,247657,CLOSED,TRUE,FALSE,FALSE,
5.7151E+14,219978,CLOSED,TRUE,FALSE,FALSE,
1.77454E+15,216285,CLOSED,TRUE,FALSE,FALSE,
4.51604E+14,214364,OPEN,TRUE,FALSE,FALSE,
7.44961E+14,207237,OPEN,TRUE,FALSE,FALSE,
3.63741E+14,192625,OPEN,TRUE,FALSE,FALSE,
1.6224E+15,191604,CLOSED,TRUE,TRUE,FALSE,
5.9963E+14,184329,CLOSED,TRUE,TRUE,FALSE,
8.13957E+14,176263,OPEN,TRUE,FALSE,FALSE,
7.44596E+14,13378,CLOSED,TRUE,FALSE,FALSE,
3.66874E+14,10465,CLOSED,TRUE,FALSE,FALSE,
2.37672E+15,6860,OPEN,TRUE,FALSE,FALSE,
2.97993E+14,4517,CLOSED,TRUE,FALSE,FALSE,
7.2062E+14,3168,OPEN,TRUE,FALSE,FALSE,
7.2062E+14,3167,OPEN,TRUE,FALSE,FALSE,
2.63093E+15,1653,OPEN,TRUE,FALSE,FALSE,
2.34754E+14,842,CLOSED,TRUE,FALSE,FALSE,
5.08487E+14,727,CLOSED,TRUE,FALSE,FALSE,
3.38183E+14,24023,OPEN,TRUE,FALSE,FALSE,
1.6336E+15,8366,CLOSED,TRUE,FALSE,FALSE,
1.5225E+15,7831,OPEN,FALSE,FALSE,FALSE,
1.25702E+15,5674,CLOSED,TRUE,FALSE,FALSE,
1.32926E+15,5613,OPEN,FALSE,FALSE,FALSE,
3.84152E+14,5071,CLOSED,TRUE,FALSE,FALSE,
3.86619E+14,3503,CLOSED,TRUE,TRUE,FALSE,
1.64919E+15,3162,OPEN,TRUE,FALSE,FALSE,
2.88405E+14,2923,OPEN,TRUE,FALSE,FALSE,
2.38685E+15,1826,CLOSED,TRUE,FALSE,FALSE,
